Mouse ID,Hole Punch,Genetic Background,Gender,DOB,Age,Date Weaned,Parent Crossing,Strain 1,Strain 2,Strain 3,GeNtype 1,GeNtype 2,GeNtype 3,Experiments? ,Euthanized ,Date of Euth.,Notes from Book:,,,Red Hole Punch indicates there was Nt a designation listed inside the Ntebook but added to the spreadsheet based on how Cong Nrmally does his numbering and hole punches,,,,,
933,R,,Female,8/25/2022,658,,,Pax2-Cre,Tlr4-loxp,,Cre +,loxp/loxp,,,Y,,,,,,,,,,
934,L,,Female,8/25/2022,658,,,Pax2-Cre,Tlr4-loxp,,Cre +,loxp/loxp,,,Y,,,,,,,,,,
935,B,,Female,8/25/2022,658,,,Pax2-Cre,Tlr4-loxp,,Cre +,loxp/loxp,,,Y,,,,,,,,,,
936,2R,,Female,8/25/2022,658,,,Pax2-Cre,Tlr4-loxp,,Cre +,loxp/loxp,,,Y,,,,,,,,,,
937,2L,,Female,8/25/2022,658,,,Pax2-Cre,Tlr4-loxp,,Cre -,loxp/+,,,Y,,,,,,,,,,
938,N,,Female,8/25/2022,658,,,Pax2-Cre,Tlr4-loxp,,Cre +,loxp/loxp,,,Y,,,,,,,,,,
939,R,,Male,8/25/2022,658,,,Pax2-Cre,Tlr4-loxp,,Cre +,loxp/+,,,Y,,,,,,,,,,
940,L,,Male,8/25/2022,658,,,Pax2-Cre,Tlr4-loxp,,Cre -,loxp/+,,,Y,,,,,,,,,,
941,B,,Male,8/25/2022,658,,,Pax2-Cre,Tlr4-loxp,,Cre +,loxp/loxp,,,Y,,,,,,,,,,
942,2R,,Male,8/25/2022,658,,,Pax2-Cre,Tlr4-loxp,,Cre +,loxp/loxp,,,Y,,,,,,,,,,
943,R,,Female,9/25/2022,627,,,Pax2-Cre,Tlr4-loxp,,Cre -,loxp/loxp,,,Y,,,,,,,,,,
944,L,,Female,9/25/2022,627,,,Pax2-Cre,Tlr4-loxp,,Cre +,loxp/loxp,,,Y,,,,,,,,,,
945,B,,Female,9/25/2022,627,,,Pax2-Cre,Tlr4-loxp,,Cre +,loxp/loxp,,,Y,,,,,,,,,,
946,R,,Male,9/25/2022,627,,,Pax2-Cre,Tlr4-loxp,,Cre -,loxp/loxp,,,Y,,,,,,,,,,
947,L,,Male,9/25/2022,627,,,Pax2-Cre,Tlr4-loxp,,Cre -,loxp/loxp,,,Y,,,,,,,,,,
948,B,,Male,9/25/2022,627,,,Pax2-Cre,Tlr4-loxp,,Cre +,loxp/+,,,Y,,,,,,,,,,
949,2R,,Male,9/25/2022,627,,,Pax2-Cre,Tlr4-loxp,,Cre -,loxp/loxp,,,Y,,,,,,,,,,
950,2L,,Male,9/25/2022,627,,,Pax2-Cre,Tlr4-loxp,,Cre +,lopx/+,,,Y,,,,,,,,,,
951,N,,Male,9/25/2022,627,,,Pax2-Cre,Tlr4-loxp,,Cre -,loxp/+,,,Y,,,,,,,,,,
952,R,,,9/26/2022,626,,,Pax2-Cre,Tlr4-loxp,,Cre +,+/+,,,Y,,,,,,,,,,
953,L,,,9/26/2022,626,,,Pax2-Cre,Tlr4-loxp,,,,,,Y,,,,,,,,,,
954,B,,,9/26/2022,626,,,Pax2-Cre,Tlr4-loxp,,,,,,Y,,,,,,,,,,
955,2R,,,9/26/2022,626,,,Pax2-Cre,Tlr4-loxp,,,,,,Y,,,,,,,,,,
956,2L,,,9/26/2022,626,,,Pax2-Cre,Tlr4-loxp,,Cre +,+/+,,,Y,,,,,,,,,,
957,R,,Female,9/7/2022,645,,,Pax2-Cre,Tlr4-loxp,,Cre +,loxp/+,,,Y,,,,,,,,,,
958,L,,Female,9/7/2022,645,,,Pax2-Cre,Tlr4-loxp,,Cre -,+/+,,,Y,,,,,,,,,,
959,R,,Male,9/7/2022,645,,,Pax2-Cre,Tlr4-loxp,,Cre +,loxp/+,,,Y,,,,,,,,,,
960,L,,Male,9/7/2022,645,,,Pax2-Cre,Tlr4-loxp,,Cre +,loxp/+,,,Y,,,,,,,,,,
961,B,,Male,9/7/2022,645,,,Pax2-Cre,Tlr4-loxp,,Cre +,loxp/loxp,,,Y,,,,,,,,,,
962,R,,Male,10/1/2022,25,,,Tlr4-KO,,,,,,,,10/26/2022,,,,,,,,,
963,L,,Male,10/1/2022,25,,,Tlr4-KO,,,,,,,,10/26/2022,,,,,,,,,
964,R,,Female,9/7/2022,645,,,Trpa1-KO,,,-/-,,,,Y,,,,,,,,,,
965,L,,Female,9/7/2022,645,,,Trpa1-KO,,,-/-,,,,Y,,,,,,,,,,
966,B,,Female,9/7/2022,645,,,Trpa1-KO,,,-/-,,,,Y,,,,,,,,,,
967,R,,Male,9/7/2022,645,,,Trpa1-KO,,,-/-,,,,Y,,,,,,,,,,
968,L,,Male,9/7/2022,645,,,Trpa1-KO,,,-/-,,,,Y,,,,,,,,,,
969,B,,Male,9/7/2022,645,,,Trpa1-KO,,,-/-,,,,Y,,,,,,,,,,
970,R,,Female,9/30/2022,622,,,Trpa1-KO,,,-/-,,,,Y,,,,,,,,,,
971,L,,Female,9/30/2022,622,,,Trpa1-KO,,,-/-,,,,Y,,,,,,,,,,
972,B,,Female,9/30/2022,622,,,Trpa1-KO,,,-/-,,,,Y,,,,,,,,,,
973,2R,,Female,9/30/2022,622,,,Trpa1-KO,,,-/-,,,,Y,,,,,,,,,,
974,R,,Male,9/30/2022,622,,,Trpa1-KO,,,-/-,,,,Y,,,,,,,,,,
975,L,,Male,9/30/2022,622,,,Trpa1-KO,,,-/-,,,,Y,,,,,,,,,,
976,B,,Male,9/30/2022,622,,,Trpa1-KO,,,-/-,,,,Y,,,,,,,,,,
977,2R,,Male,9/30/2022,622,,,Trpa1-KO,,,-/-,,,,Y,,,,,,,,,,
978,R,,Female,10/3/2022,619,,,Trpa1-KO,,,-/-,,,,Y,,,,,,,,,,
979,L,,Female,10/3/2022,619,,,Trpa1-KO,,,-/-,,,,Y,,,,,,,,,,
