Strain/Species,Female 1,Female 1 DOB,Female 2,Female 2 DOB,Female 3,Female 3 DOB,Male 1,Male 1 DOB,Male 2,Male 2 DOB,Date Bred,DOB of Litter,# of Pups Born,Date of Weaning,# of Pups Weaned,# of Females,# of Males,,Animals IDs that are crossed out have been euthanized
B6-Cdh23 KI,1461,12/14/2022, , , , ,1462,12/14/2022, , , ,2/23/2023, ,3/21/2023,9,6,3,,DOB formula
B6-Cdh23 KI,1472,9/23/2022,1473,9/23/2022, , ,1474,9/23/2022, , , ,2/24/2023, , ,6,3,3,,"INDEX('All-Mice'!$A:$E,MATCH(B226,'All-Mice'!$A:$A,0),5)"
B6-Cdh23 KI,1634,5/20/2023, , , , ,1635,5/20/2023, , , ,9/8/2023, , ,12,6,6,,
B6-Cdh23 KI,1769,4/11/2023, , , , ,1771,4/11/2023, , , ,9/7/2023, , ,4,2,2,,
B6-Cdh23 KI,2310,10/30/2023,2311,10/30/2023, , ,2305,10/1/2023, , , ,1/31/2024, ,2/26/2024,4,0,4,,
B6-Cdh23 KI,2320,7/13/2023, , , , ,2321,7/13/2023, , ,11/3/2023,11/25/2023,9,12/20/2023,10,5,5,,
B6-Cdh23 KI,2320,7/13/2023, , , , ,2321,7/13/2023, , ,11/3/2023,1/17/2024,11, ,11,5,6,,
B6N,2304,10/1/2023, , , , ,2305,10/1/2023, , ,12/20/2023,1/23/2024,4, ,1,1,0,,
B6N,2304,10/1/2023, , , , ,2305,10/1/2023, , ,12/20/2023,4/29/2024,4,5/20/2024,4,1,3,,
B6N,2304,10/1/2023, , , , ,2305,10/1/2023, , ,12/20/2023,3/12/2024,7,4/2/2024,7,1,6,,
B6N,2304,10/1/2023, , , , ,2305,10/1/2023, , ,12/20/2023,1/8/2024,3,2/6/2024,3,1,2,,
B6N,2304,10/1/2023, , , , ,2305,10/1/2023, , ,12/20/2023,5/22/2024,4,6/12/2024,4,3,1,,
