Mouse ID,Genetic Background,Gender,DOB,Weaning Date,Age,Parent Crossing,Strain 1,Strain 2,Strain 3,Experiments? ,Date of Euthanization,Notes
TRPV1-flox-Cdh23-12152023-1M,,Male,12/15/2023,1/9/2024,,2043/2049,Trpv1-flox,B6N-Cdh23-KI,,,2/8/2024,
TRPV1-flox-Cdh23-12152023-2M,,Male,12/15/2023,1/9/2024,,2043/2049,Trpv1-flox,B6N-Cdh23-KI,,,2/8/2024,
TRPV1-flox-Cdh23-12152023-3M,,Male,12/15/2023,1/9/2024,,2043/2049,Trpv1-flox,B6N-Cdh23-KI,,,2/8/2024,
TRPV1-flox-Cdh23-12152023-4F,,Female,12/15/2023,1/9/2024,,2043/2049,Trpv1-flox,B6N-Cdh23-KI,,,2/8/2024,
TRPV1-flox-Cdh23-12152023-5F,,Female,12/15/2023,1/9/2024,,2043/2049,Trpv1-flox,B6N-Cdh23-KI,,,2/8/2024,
TRPV1-flox-Cdh23-12152023-6F,,Female,12/15/2023,1/9/2024,,2043/2049,Trpv1-flox,B6N-Cdh23-KI,,,2/8/2024,
Pcdh15-01132024-1M,,Male,1/13/2024,2/6/2024,,,Pcdh15,,,,2/7/2024,
Pcdh15-01132024-2M,,Male,1/13/2024,2/6/2024,,,Pcdh15,,,,2/7/2024,
Pcdh15-01132024-3F,,Female,1/13/2024,2/6/2024,,,Pcdh15,,,,2/7/2024,
Pcdh15-01132024-4F,,Female,1/13/2024,2/6/2024,,,Pcdh15,,,,2/7/2024,
Pcdh15-01132024-5F,,Female,1/13/2024,2/6/2024,,,Pcdh15,,,,2/7/2024,
TRPV1-flox-Cdh23-11242023-1F,,Female,11/24/2023,12/20/2024,,2043/2049,Trpv1-flox,B6N-Cdh23-KI,,,2/8/2024,
TRPV1-flox-Cdh23-11242023-2F,,Female,11/24/2023,12/20/2024,,2043/2049,Trpv1-flox,B6N-Cdh23-KI,,,2/8/2024,
TRPV1-flox-Cdh23-11242023-3M,,Male,11/24/2023,12/20/2024,,2043/2049,Trpv1-flox,B6N-Cdh23-KI,,,2/8/2024,
B6N-Cdh23-10302023-1M,,Male,10/30/2023,11/21/2024,,1769/1771,B6N-Cdh23-KI,,,Shreshtha Dash,1/23/2024,
B6N-Cdh23-10302023-2M,,Male,10/30/2023,11/21/2024,,1769/1771,B6N-Cdh23-KI,,,Shreshtha Dash,1/23/2024,
B6N-Cdh23-10302023-3M,,Male,10/30/2023,11/21/2024,,1769/1771,B6N-Cdh23-KI,,,Shreshtha Dash,1/23/2024,
B6N-Cdh23-10302023-4M,,Male,10/30/2023,11/21/2024,,1769/1771,B6N-Cdh23-KI,,,Shreshtha Dash,1/23/2024,
B6N-Cdh23-10302023-5M,,Male,10/30/2023,11/21/2024,,1769/1771,B6N-Cdh23-KI,,,Shreshtha Dash,1/23/2024,
B6N-Cdh23-11152023-1F,,Female,11/15/2023,12/12/2023,,,B6N-Cdh23-KI,,,Shreshtha Dash,1/31/2024,
B6N-Cdh23-11152023-2F,,Female,11/15/2023,12/12/2023,,,B6N-Cdh23-KI,,,Shreshtha Dash,1/31/2024,
B6N-Cdh23-11152023-3F,,Female,11/15/2023,12/12/2023,,,B6N-Cdh23-KI,,,Shreshtha Dash,1/31/2024,
